#********mc_data: L-24.0, k_b-3000000000.0, dt-1e-12, N-300.0********


#init L		 init nma	 init fma	 state		 unbinding prob 		 cumulative unbinding prob
24.000000	3.931035	3.814093	TRAILING	0.038622	0.069301
24.000000	4.310378	4.529872	TRAILING	0.009721	0.017670
24.000000	4.413146	3.902179	LEADING		0.105257	0.249547
24.000000	3.932767	3.667135	LEADING		0.019249	0.044085
24.000000	4.094385	4.135169	TRAILING	0.068313	0.123513
24.000000	4.312661	4.033107	LEADING		0.110454	0.255958
24.000000	4.313410	4.057968	TRAILING	0.140896	0.248226
24.000000	4.438143	4.075241	TRAILING	0.138730	0.241911
24.000000	4.438143	4.075241	LEADING		0.103181	0.241911
24.000000	4.242631	4.004520	LEADING		0.104516	0.240753
24.000000	3.986336	4.144193	TRAILING	0.039540	0.072295
24.000000	3.719243	3.927134	LEADING		0.007581	0.016550
24.000000	4.062705	4.277824	TRAILING	0.031276	0.057311
24.000000	4.523536	3.746690	TRAILING	0.077909	0.132297
24.000000	4.201682	3.853136	LEADING		0.088324	0.205150
24.000000	4.615181	3.309333	TRAILING	0.001717	0.002818
24.000000	4.653016	3.867313	LEADING		0.052840	0.129086
24.000000	4.677674	3.535833	TRAILING	0.011560	0.019175
24.000000	4.285275	3.853934	LEADING		0.098196	0.230303
24.000000	4.148927	3.547204	TRAILING	0.028711	0.049600
24.000000	4.165385	4.170140	TRAILING	0.077850	0.140126
24.000000	4.180598	4.028477	TRAILING	0.115979	0.206460
24.000000	3.867216	3.317803	TRAILING	0.001494	0.002599
24.000000	3.784177	4.179363	LEADING		0.007243	0.015565
24.000000	4.802380	4.222888	LEADING		0.022522	0.054579
24.000000	4.343590	4.218938	TRAILING	0.090488	0.160590
24.000000	4.479853	4.401183	LEADING		0.024235	0.055686
24.000000	3.812713	4.153113	LEADING		0.010163	0.021964
24.000000	3.506908	3.670748	LEADING		0.000611	0.001335
24.000000	4.923521	3.883272	TRAILING	0.016282	0.027092
24.000000	4.557459	3.827166	TRAILING	0.094941	0.161556
24.000000	4.403134	3.706342	LEADING		0.057448	0.138357
24.000000	4.180968	3.712883	LEADING		0.055419	0.130040
24.000000	4.274517	3.968838	LEADING		0.109968	0.255052
24.000000	4.281234	3.985307	LEADING		0.110620	0.256409
24.000000	4.227707	4.115080	TRAILING	0.109485	0.195161
24.000000	4.227707	4.115080	LEADING		0.085677	0.195161
24.000000	4.378362	3.911275	TRAILING	0.148427	0.257611
24.000000	4.378362	3.911275	LEADING		0.109184	0.257611
