#State	time	PE_b1	PE_m1	PE_t	PE_m2	PE_b2	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	fx1	fy1	fx2	fy2	fx3	fy3	fx4	fy4	fx5	fy5
2	0.0053	0.026	0.0023	4.8e-06	0.00054	0.022	0	0	2.09491	10.2787	-12.5546	29.0359	2.22507	10.3811	0.717341	0	0.0112603	-0.00229496	-0.0128064	0.00108741	0.00235434	0.00184787	-0.00929225	0.000591895	0.00848406	-0.00123221
2	0.0054	0.036	0.00047	1.5e-05	2.5e-05	0.032	0	0	3.30535	9.95564	-7.90996	30.9475	3.56458	10.0962	0.717341	0	0.00959603	-0.00318596	-0.0103065	0.00280637	0.000985836	0.000531118	-0.00806027	0.0020439	0.00778493	-0.00219543
2	0.0055	0.057	0.0012	4.2e-05	0.00099	0.054	0	0	5.43545	8.97195	-1.44173	31.7567	5.9033	9.11844	0.717341	0	0.0115592	-0.00700286	-0.012799	0.00662864	0.00266149	0.000835481	-0.0126517	0.00592565	0.01123	-0.0063869
2	0.0056	0.033	0.0062	2e-05	0.0084	0.03	0	0	2.9635	10.0627	-4.61113	32.6252	3.28121	10.1719	0.717341	0	0.000199257	-5.8682e-05	0.00305282	0.00115046	-0.0067676	-0.00232749	0.00485216	0.000898803	-0.00133663	0.000336906
2	0.0057	0.026	0.099	2.4e-06	0.081	0.021	0	0	2.00985	10.2957	-20.221	18.7943	2.05129	10.4048	0.717341	0	0.0361981	-0.00706636	-0.0409132	-0.00526751	0.00895165	0.023581	-0.0373469	-0.00700219	0.0331104	-0.00424489
2	0.0058	0.027	0.0013	5.9e-06	0.00016	0.023	0	0	2.22965	10.2503	-11.7316	29.5253	2.37698	10.3579	0.717341	0	0.0102771	-0.00223549	-0.0114687	0.00137242	0.0016742	0.00121833	-0.00810493	0.000866065	0.00762229	-0.00122132
2	0.0059	0.035	0.023	4e-05	0.024	0.033	0	0	3.21161	9.98627	-0.361309	33.5166	3.68163	10.0625	0.717341	0	-0.00631379	0.00203053	0.0128377	-0.00103992	-0.0127919	-0.00207108	0.0130688	-0.000922987	-0.00680082	0.00200345
2	0.006	0.036	0.013	3.3e-05	0.014	0.034	0	0	3.38612	9.92846	-1.67698	33.1837	3.80806	10.0243	0.717341	0	-0.00245567	0.00083751	0.00722138	0.000200076	-0.00944804	-0.00214655	0.00795192	0.000100876	-0.00326959	0.00100808
2	0.0061	0.025	0.014	2.8e-06	0.0083	0.02	0	0	1.85035	10.3255	-15.6802	26.4227	1.93573	10.419	0.717341	0	0.0177138	-0.00317433	-0.0210564	-0.000465903	0.00594061	0.00649998	-0.0172638	-0.00114475	0.0146657	-0.001715
2	0.0062	0.027	0.024	1.9e-05	0.029	0.025	0	0	2.24904	10.2461	-3.39095	33.3681	2.5663	10.3258	0.717341	0	-0.007667	0.00168293	0.0141597	-9.92041e-05	-0.013251	-0.00333096	0.0160297	8.70613e-05	-0.00927145	0.00166017
