#--ls 10.49, --lt 23.8, --cb 0.1, --cm 0.4, --ct 0.2, --dt 1e-10,  --seed 1, --framerate 1e-10, --eqb 120, --eqmpre 200, --eqmpost 224, --eqt 0, --nomovie,,
k_b,    k_ub,    runtime,   exp_binding_constant,    max ob time,    min ob time,    max bb time,    min bb time,    max nb step,    min nb step,    max fb step,    min fb step, total steps, nbx disp, fbx disp
100000000,	100,	1.0,	0.0,	0.00046458790000003525,	2.8700000043180296e-08,	0.0483790046,	1.3402500000037065e-05,	65.3190817,	-49.2397287,	67.5789166, 	-43.0488761, 	91, 	-19.0829306, 	-81.0961027
1000000000.0,	100.0,	1.0,	-0.5,	1.3094400000024375e-05,	1.9999990552577174e-10,	0.04425309990000004,	6.196389999990615e-05,	33.17333,	-19.077062700000003,	19.930155599999992, 	-18.42434809999999, 	157, 	147.7983767, 	158.6247837
1000000000.0,	100.0,	1.0,	-2.0,	2.087049999999202e-05,	1.9999990552577174e-10,	0.01728678210000001,	1.4100000000905055e-07,	23.754558299999985,	-21.939745800000004,	30.169778700000002, 	-23.9705576, 	516, 	614.7515713, 	611.9924998
1000000000.0,	100.0,	1.0,	-2.0,	1.9541399999989384e-05,	1.9999990552577174e-10,	0.0177779966,	4.828000000012267e-06,	26.17508319999999,	-35.698771300000004,	28.475289500000002, 	-32.4285038, 	421, 	349.0100951, 	347.1377321
1000000000.0,	100.0,	1.0,	-2.0,	1.3522900000006999e-05,	1.9999990552577174e-10,	0.017777995199999994,	1.7595999999842071e-06,	17.347509000000002,	-25.749241600000005,	21.287521299999995, 	-21.00689700000001, 	435, 	237.5045738, 	244.03356730000002
100000000.0,	100.0,	1.0,	-2.0,	0.00018756980000000922,	2.000000026702864e-10,	0.0157958889,	1.3392000000021775e-06,	38.439795000000004,	-32.20361879999996,	35.01472199999995, 	-26.71516919999999, 	645, 	1052.5135667, 	1055.3806288
500000000.0,	100.0,	1.0,	-2.0,	2.795649999998151e-05,	1.9999990552577174e-10,	0.012882519799999992,	5.15199999995275e-07,	26.42057150000001,	-20.327021799999997,	42.06264569999996, 	-27.547945899999995, 	670, 	1170.620841, 	1200.2218929
100000000.0,	10.0,	1.0,	-2.0,	0.0001468974000000678,	1.6895999999655409e-06,	0.06359721220000003,	5.879530000008071e-05,	23.216656399999998,	-25.994488899999997,	21.1686479, 	-15.0258014, 	61, 	47.7377701, 	46.4042542
100000000.0,	50.0,	1.0,	-2.0,	0.00020243790000007422,	1.9999990552577174e-10,	0.022678807600000017,	1.1027799999979715e-05,	27.0367014,	-23.837130400000007,	31.3628506, 	-23.845980800000007, 	319, 	470.9987074, 	483.88430170000004
100000000.0,	50.0,	1.0,	-0.5,	8.927390000001978e-05,	1.9999990552577174e-10,	0.06397148220000004,	5.1365699999972314e-05,	17.2372991,	-16.4736398,	15.071246599999998, 	-17.580791299999998, 	80, 	17.5550939, 	20.661985
5000000.0,	100.0,	1.0,	-2.0,	0.0034652956999999818,	1.8657000000060764e-06,	0.017775862200000006,	1.9013399999989744e-05,	30.874888899999974,	-30.420642700000002,	39.894273500000004, 	-20.3419138, 	490, 	782.8830142, 	783.1153337000001
